	cor	pval	zscore
none	0.367826358418	0.0001	9.14290942753
row-zscore	0.323406235446	0.0001	8.44127975117
col-qn	0.394546078699	0.0001	9.65360645141
col-zscore	0.407383665433	0.0001	10.0519506114
col-qn row-zscore	0.44541862642	0.0001	11.438617834
col-zscore row-zscore	0.520143661132	0.0001	13.4226408316
filter none	0.439245420113	0.0001	10.2743131121
filter row-zscore	0.52387057773	0.0001	13.4249566983
filter col-qn	0.437368703065	0.0001	10.3031843563
filter col-zscore	0.438647198726	0.0001	10.1884179377
filter col-qn row-zscore	0.590482505156	0.0001	15.1534146618
filter col-zscore row-zscore	0.588339106652	0.0001	15.0229915574
none filter	0.439245420113	0.0001	10.2255690201
row-zscore filter	0.52387057773	0.0001	13.4644510758
col-qn filter	0.413286706152	0.0001	9.66262959995
col-zscore filter	0.438885266054	0.0001	10.2176530073
col-qn row-zscore filter	0.532028870828	0.0001	13.4474071965
col-zscore row-zscore filter	0.585845200504	0.0001	14.9663806849
