	('Cell Line: A549', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: CAL-12T', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Calu-3', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: DMS153', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: DMS53', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1299', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1355', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1437', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1650', u'Histology: NSCLC', u'Sub-Histology: bronchioloalveolar_adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1666', u'Histology: NSCLC', u'Sub-Histology: bronchioloalveolar_adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1703', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1734', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('Cell Line: H1781', u'Histology: NSCLC', u'Sub-Histology: bronchioloalveolar_adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1792', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1944', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1975', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H209', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H2106', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2228', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H23', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H2342', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2405', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H358', u'Histology: NSCLC', u'Sub-Histology: bronchioloalveolar_adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H441', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H446', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H460', u'Histology: NSCLC', u'Sub-Histology: large_cell_carcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H524', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H526', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H661', u'Histology: NSCLC', u'Sub-Histology: large_cell_carcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H69', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H82', u'Histology: SCLC', u'Sub-Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H838', u'Histology: NSCLC', u'Sub-Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC15', u'Histology: NSCLC', u'Sub-Histology: squamous_cell_carcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC44', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC78', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC827', u'Histology: NSCLC', u'Sub-Histology: adenocarcinoma', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Lou-NH91', u'Histology: NSCLC', u'Sub-Histology: squamous_cell_carcinoma', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')
('AAK1_phospho_T389', 'Data-Type: phospho')	-0.381955800796	0.844475035104	0.236847247583	-0.207129027693	0.202012228064	0.509917029237	0.0357002826012	0.563343005167	2.8093945859	0.624595775671	-0.0710494199867	-1.64788523911	0.638640575695	0.160931680632	-0.218919762642	0.180866448659	-1.35009680546	-1.50456567519	0.646879656473	0.156000829073	-0.0831172599296	0.835380797901	0.603307556061	-0.0883738228905	-0.17798372985	0.439693997501	-0.876909364048	-2.09032178777	0.165134721381	-2.3664314177	-1.36104473552	-0.383899294665	0.851914220347	0.550982080116	0.556356563174	-0.462651503922	1.65996033083
('ABCC5_phospho_S67', 'Data-Type: phospho')	-1.46523217244	-0.924353185746	0.731258778215	2.58778905269	-0.184881217864	-0.908811975729	0.308979780129	0.974051983523	-0.617479308275	0.0447486247125	0.774423704929	-0.63225352453	1.58378910563	0.326507701381	-1.06304880145	-1.01741203336	-0.391906165038	1.87356188055	-0.246453849881	-0.259308650281	0.85477597651	1.10719394418	-0.0939205327083	-0.572340407449	0.458957107504	-0.296438545017	1.19764700052	1.09766409552	-0.714231210265	0.255330356312	0.012170970326	-0.498837787151	-1.90459547091	-1.88420709681	-0.54158060533	-0.42267096828	0.451113445882
('ABL1_phospho_Y185', 'Data-Type: phospho')	0.774470941418	1.45910777051	-1.41571400029	-1.01190545577	0.0	0.347591787694	2.57539977393	-1.5423708845	-1.38024706491	0.293703655682	0.501885553939	-0.212991168267	0.567459882767	0.59024514488	-2.36001229822	-0.88463587263	-0.162412994625	-1.15250489796	0.391990512265	0.21880246779	0.263960600839	-0.757039068936	0.960873088545	0.516041322279	0.0	-0.057026627995	0.0	0.0	0.484266261462	0.0	0.0	-0.101112473694	0.330227298644	0.742288063587	0.621590181025	-0.984796724334	0.382865224871
('ABLIM1_phospho_S452', 'Data-Type: phospho')	-0.266379307287	-1.02232613422	0.94693085037	2.33814998964	0.953182818455	-0.266379307287	1.33078506335	0.516030505457	0.0225759967252	0.69075962997	-2.30828057252	0.554779751398	0.0474953838244	0.0370078648559	1.54066043181	0.441357487007	0.11266005138	0.508135535204	-1.51588489677	-0.159868685629	-0.959691851726	1.07210770871	0.822574127894	-0.571554778851	1.01705056683	0.00993244631693	-0.343365194077	0.724480171011	-2.04207883748	-1.40671234221	-0.343365194077	0.42147375479	-0.171919044627	-1.51588489677	-0.571554778851	-0.0322875807087	-0.610596731915
('ABLIM1_phospho_S455', 'Data-Type: phospho')	-0.333129239273	-0.393156596338	0.422634442638	2.34424994588	0.0	-0.496248979844	1.02634958424	1.07913127114	-0.00227396369892	0.493040616399	-1.47479364268	0.169084203766	-0.278432847427	-0.523254306049	2.07314297453	-0.251623064065	1.42043742489	0.717418302213	-1.47479364268	0.122458731578	-0.451265407874	0.688502280436	0.356812397215	-0.793450982549	0.0	-0.305590488366	1.12176892802	0.0	-1.78033509381	0.0	0.0	0.793406844282	-0.676701705023	-0.95058264271	-1.23563542038	-1.05767500768	-0.349494916769
('ABLIM1_phospho_S458', 'Data-Type: phospho')	0.0766578316034	-1.74052391724	0.519855379076	2.52836637799	0.519855379076	-0.55943016107	1.28329296382	-0.172757198025	-0.811367397169	-0.214146604418	-0.773030635353	0.0503191079225	-0.35837332703	0.475700818865	1.88597229496	-0.081204921968	0.968807366831	0.0503191079225	-1.8040081119	0.648407262032	-0.457854076597	0.296618099204	0.707873310686	0.296618099204	0.755417603363	-0.55943016107	0.900152237069	0.0956103370435	-1.60740051687	0.533713204909	0.878277492654	-0.791346203188	-0.0319505222871	-2.52331064213	-0.5791177086	-0.733092094211	0.326509924891
('ABLIM3_phospho_S504', 'Data-Type: phospho')	0.12692714559	-0.40459630085	1.36267944313	-0.00688564711651	-0.466253985515	-0.569828592788	-0.247376073049	0.0577542956182	0.162003248268	0.859693390917	-1.06356983554	-1.20243343956	-1.04595108534	0.123879214897	0.477498208526	1.35419247832	0.227479159186	-0.449376315368	2.42869534571	0.0367335291166	-1.25013375367	-0.270722889714	1.19364518811	1.25020381087	-0.601571798481	0.344788724925	0.18271026626	-0.0673156084426	-1.81873478362	0.0334304462301	-0.209264888796	-1.83199111803	-0.590911027529	1.57978996228	-1.27106130452	-0.472348431428	2.0382230214
('ACLY_phospho_S451', 'Data-Type: phospho')	2.14086692283	0.780024076332	0.261673970092	-0.138932945749	-0.542358708052	0.521680852409	-2.93843046122	-0.327355235025	-0.132963504964	-0.274597933739	1.05887893721	0.252932601049	1.59560901482	-0.347395126983	0.307984113442	-0.713721259457	-0.944886706462	-0.565404550976	-0.1651774304	-0.270268863766	0.056898494697	1.29335527813	-0.115939766028	-1.10024096799	0.719607439125	0.539432770476	-0.14262793147	-0.499148025967	0.984874259229	-0.718592622726	-0.816058271307	-0.766269568299	-2.38724545937	1.1576694496	0.45474464759	0.879077843759	0.902304669153
('ACOT7_phospho_Y194', 'Data-Type: phospho')	-0.489565824239	-0.13385810846	0.196840557212	-0.753733033318	0.0	1.60719907926	0.557285323871	-0.590718092583	-0.0138040473288	-0.843568209811	0.934948092984	-0.677041402306	-2.09282707766	-0.152571882616	0.414371417947	-0.131541607949	-1.42056020237	0.251411306732	-0.961206625633	-0.0546560688305	1.42681836144	1.57404582154	-0.28495364012	-1.30928300672	0.0	-0.613092003739	0.0	0.0	0.924449250215	0.0	0.0	0.484960359381	2.61995907921	-0.203172688077	0.749221089571	-1.00342055264	-0.0119356649671
('ACTB_phospho_S33', 'Data-Type: phospho')	0.0324508500113	1.21564241491	-0.211965534811	-1.2669133117	-2.33756136111	0.0324508500113	-0.397223565638	1.02235651093	0.0519566404464	1.1702623029	1.39806128322	-1.82803656869	0.838323007712	-0.180690328902	0.0474043489154	0.294665269922	-0.0185042937557	-2.47015255272	0.619001294801	-0.519416055563	0.205992425396	0.290427081422	-0.321360659503	-0.473946708975	-0.775631069828	-0.275682433697	-0.344515846672	-1.40196445021	1.67342208244	0.294665269922	0.0616356682678	1.04365283885	0.608746012602	1.41071548016	1.09067956619	-1.01073236071	0.431785903455
